type;trans_id;local_time;order_num;order_start_time;order_stop_time;delta_time;Stock;date
send_order;123621;123621;30977818127;436935.687;436935.673;0.013999999966472;FR;20220412
kill_order;123621;123621;30977818127;436935.756;436935.696;0.059999999997672;FR;20220412
send_order;123622;123622;30977818188;436936.012;436935.978;0.033999999985099;FR;20220412
kill_order;123622;123622;30977818188;436936.061;436936.016;0.044999999983702;FR;20220412
send_order;123622;123622;30977818398;436936.316;436936.282;0.033999999985099;FR;20220412
kill_order;123622;123622;30977818398;436936.382;436936.322;0.059999999997672;FR;20220412
send_order;123622;123622;30977818641;436936.622;436936.588;0.033999999985099;FR;20220412
kill_order;123622;123622;30977818641;436936.692;436936.627;0.065000000002328;FR;20220412
send_order;123623;123623;30977819179;436936.931;436936.897;0.033999999985099;FR;20220412
kill_order;123623;123623;30977819179;436937.012;436936.934;0.077999999979511;FR;20220412
send_order;123623;123623;30977819628;436937.252;436937.203;0.048999999999069;FR;20220412
kill_order;123623;123623;30977819628;436937.318;436937.257;0.061000000045169;FR;20220412
send_order;123623;123623;30977820186;436937.571;436937.508;0.063000000023749;FR;20220412
kill_order;123623;123623;30977820186;436937.636;436937.574;0.061999999976251;FR;20220412
send_order;123623;123623;30977820589;436937.829;436937.811;0.018000000040047;FR;20220412
kill_order;123623;123624;30977820589;436937.879;436937.832;0.047000000020489;FR;20220412
send_order;123624;123624;30977821020;436938.155;436938.116;0.039000000047963;FR;20220412
kill_order;123624;123624;30977821020;436938.189;436938.158;0.031000000017229;FR;20220412
send_order;123624;123624;30977821606;436938.438;436938.426;0.0120000000461;FR;20220412
kill_order;123624;123624;30977821606;436938.454;436938.441;0.01300000003539;FR;20220412
send_order;123624;123624;30977822068;436938.762;436938.728;0.033999999985099;FR;20220412
kill_order;123624;123624;30977822068;436938.796;436938.765;0.030999999959022;FR;20220412
send_order;123625;123625;30977822481;436939.046;436939.033;0.012999999977183;FR;20220412
kill_order;123625;123625;30977822481;436939.063;436939.049;0.01400000002468;FR;20220412
send_order;123625;123625;30977822937;436939.369;436939.335;0.033999999985099;FR;20220412
kill_order;123625;123625;30977822937;436939.419;436939.372;0.047000000020489;FR;20220412
send_order;123625;123625;30977823361;436939.709;436939.643;0.065999999991618;FR;20220412
kill_order;123625;123625;30977823361;436939.759;436939.713;0.046000000031199;FR;20220412
send_order;123626;123626;30977823823;436939.983;436939.95;0.032999999995809;FR;20220412
kill_order;123626;123626;30977823823;436940.063;436939.987;0.076000000000931;FR;20220412
send_order;123626;123626;30977824221;436940.268;436940.254;0.013999999966472;FR;20220412
kill_order;123626;123626;30977824221;436940.338;436940.27;0.067999999970198;FR;20220412
send_order;123626;123626;30977824498;436940.575;436940.56;0.01500000001397;FR;20220412
kill_order;123626;123626;30977824498;436940.613;436940.579;0.033999999985099;FR;20220412
send_order;123627;123627;30977824953;436940.957;436940.876;0.081000000005588;FR;20220412
kill_order;123627;123627;30977824953;436941.022;436940.961;0.060999999986961;FR;20220412
send_order;123627;123627;30977825402;436941.215;436941.182;0.033000000054017;FR;20220412
kill_order;123627;123627;30977825402;436941.254;436941.219;0.035000000032596;FR;20220412
send_order;123627;123627;30977825815;436941.525;436941.491;0.034000000043306;FR;20220412
