type;trans_id;local_time;order_num;order_start_time;order_stop_time;delta_time;Stock;date
send_order;120601;120601;30976702312;435114.856;435114.823;0.033000000054017;FR;20220412
kill_order;120601;120601;30976702312;435114.874;435114.865;0.0090000000200234;FR;20220412
send_order;120601;120601;30976702448;435115.14;435115.127;0.01300000003539;FR;20220412
kill_order;120601;120601;30976702448;435115.158;435115.143;0.01500000001397;FR;20220412
send_order;120601;120601;30976702631;435115.443;435115.43;0.01300000003539;FR;20220412
kill_order;120601;120601;30976702631;435115.467;435115.447;0.020000000018626;FR;20220412
send_order;120602;120602;30976702747;435115.749;435115.736;0.01300000003539;FR;20220412
kill_order;120602;120602;30976702747;435115.77;435115.752;0.018000000040047;FR;20220412
send_order;120602;120602;30976702860;435116.055;435116.041;0.013999999966472;FR;20220412
kill_order;120602;120602;30976702860;435116.094;435116.059;0.034999999974389;FR;20220412
send_order;120602;120602;30976703061;435116.359;435116.347;0.011999999987893;FR;20220412
kill_order;120602;120602;30976703061;435116.386;435116.362;0.023999999975786;FR;20220412
send_order;120603;120603;30976703164;435116.667;435116.654;0.01300000003539;FR;20220412
kill_order;120603;120603;30976703164;435116.688;435116.671;0.017000000050757;FR;20220412
send_order;120603;120603;30976703303;435116.973;435116.961;0.011999999987893;FR;20220412
kill_order;120603;120603;30976703303;435116.993;435116.977;0.01600000000326;FR;20220412
send_order;120603;120603;30976703452;435117.278;435117.266;0.011999999987893;FR;20220412
kill_order;120603;120603;30976703452;435117.305;435117.28;0.024999999965075;FR;20220412
send_order;120604;120604;30976703588;435117.586;435117.574;0.011999999987893;FR;20220412
kill_order;120604;120604;30976703588;435117.612;435117.588;0.024000000033993;FR;20220412
send_order;120604;120604;30976703680;435117.914;435117.88;0.033999999985099;FR;20220412
kill_order;120604;120604;30976703680;435117.925;435117.918;0.0069999999832362;FR;20220412
send_order;120604;120604;30976703801;435118.196;435118.183;0.012999999977183;FR;20220412
kill_order;120604;120604;30976703801;435118.21;435118.2;0.010000000009313;FR;20220412
send_order;120604;120604;30976703984;435118.5;435118.486;0.01400000002468;FR;20220412
kill_order;120604;120604;30976703984;435118.512;435118.503;0.0089999999618158;FR;20220412
send_order;120605;120605;30976704077;435118.821;435118.788;0.032999999995809;FR;20220412
kill_order;120605;120605;30976704077;435118.837;435118.824;0.012999999977183;FR;20220412
send_order;120605;120605;30976704156;435119.105;435119.092;0.012999999977183;FR;20220412
kill_order;120605;120605;30976704156;435119.126;435119.108;0.017999999981839;FR;20220412
send_order;120605;120605;30976704354;435119.41;435119.398;0.011999999987893;FR;20220412
kill_order;120605;120605;30976704354;435119.437;435119.413;0.023999999975786;FR;20220412
send_order;120606;120606;30976704449;435119.716;435119.705;0.010999999998603;FR;20220412
kill_order;120606;120606;30976704449;435119.743;435119.719;0.024000000033993;FR;20220412
send_order;120606;120606;30976704545;435120.024;435120.011;0.012999999977183;FR;20220412
kill_order;120606;120606;30976704545;435120.048;435120.027;0.021000000007916;FR;20220412
send_order;120606;120606;30976704707;435120.331;435120.317;0.01400000002468;FR;20220412
kill_order;120606;120606;30976704707;435120.344;435120.334;0.010000000009313;FR;20220412
send_order;120607;120607;30976704840;435120.632;435120.619;0.012999999977183;FR;20220412
kill_order;120607;120607;30976704840;435120.686;435120.636;0.049999999988358;FR;20220412
send_order;120607;120607;30976704948;435120.937;435120.924;0.012999999977183;FR;20220412
kill_order;120607;120607;30976704948;435120.977;435120.94;0.037000000011176;FR;20220412
send_order;120607;120607;30976705064;435121.242;435121.229;0.01300000003539;FR;20220412
kill_order;120607;120607;30976705064;435121.28;435121.245;0.035000000032596;FR;20220412
send_order;120608;120608;30976705254;435121.546;435121.533;0.012999999977183;FR;20220412
kill_order;120608;120608;30976705254;435121.565;435121.549;0.01600000000326;FR;20220412
send_order;120608;120608;30976705362;435121.85;435121.837;0.012999999977183;FR;20220412
kill_order;120608;120608;30976705362;435121.889;435121.853;0.036000000021886;FR;20220412
send_order;120608;120608;30976705460;435122.155;435122.142;0.01300000003539;FR;20220412
kill_order;120608;120608;30976705460;435122.181;435122.158;0.022999999986496;FR;20220412
send_order;120608;120608;30976705640;435122.461;435122.449;0.011999999987893;FR;20220412
kill_order;120608;120608;30976705640;435122.501;435122.465;0.035999999963678;FR;20220412
send_order;120609;120609;30976705714;435122.79;435122.756;0.033999999985099;FR;20220412
kill_order;120609;120609;30976705714;435122.805;435122.794;0.010999999998603;FR;20220412
send_order;120609;120609;30976705798;435123.077;435123.063;0.013999999966472;FR;20220412
kill_order;120609;120609;30976705798;435123.096;435123.08;0.01600000000326;FR;20220412
send_order;120609;120609;30976705991;435123.384;435123.369;0.01500000001397;FR;20220412
kill_order;120609;120609;30976705991;435123.447;435123.388;0.059000000008382;FR;20220412
send_order;120610;120610;30976706132;435123.698;435123.685;0.012999999977183;FR;20220412
kill_order;120610;120610;30976706132;435123.723;435123.702;0.021000000007916;FR;20220412
send_order;120610;120610;30976706250;435124.009;435123.991;0.018000000040047;FR;20220412
kill_order;120610;120610;30976706250;435124.024;435124.013;0.010999999998603;FR;20220412
send_order;120610;120610;30976706355;435124.312;435124.297;0.014999999955762;FR;20220412
kill_order;120610;120610;30976706355;435124.328;435124.316;0.011999999987893;FR;20220412
send_order;120611;120611;30976706602;435124.635;435124.601;0.033999999985099;FR;20220412
kill_order;120611;120611;30976706602;435124.647;435124.639;0.007999999972526;FR;20220412
send_order;120611;120611;30976706698;435124.918;435124.904;0.01400000002468;FR;20220412
kill_order;120611;120611;30976706698;435124.939;435124.92;0.019000000029337;FR;20220412
send_order;120611;120611;30976706830;435125.248;435125.21;0.038000000000466;FR;20220412
kill_order;120611;120611;30976706830;435125.266;435125.251;0.01500000001397;FR;20220412
send_order;120612;120612;30976707060;435125.532;435125.519;0.01300000003539;FR;20220412
kill_order;120612;120612;30976707060;435125.55;435125.535;0.01500000001397;FR;20220412
send_order;120612;120612;30976707140;435125.838;435125.825;0.012999999977183;FR;20220412
kill_order;120612;120612;30976707140;435125.86;435125.841;0.018999999971129;FR;20220412
send_order;120612;120612;30976707360;435126.144;435126.13;0.013999999966472;FR;20220412
kill_order;120612;120612;30976707360;435126.157;435126.147;0.010000000009313;FR;20220412
send_order;120612;120612;30976707556;435126.449;435126.434;0.01500000001397;FR;20220412
kill_order;120612;120612;30976707556;435126.469;435126.452;0.016999999992549;FR;20220412
send_order;120613;120613;30976707641;435126.773;435126.74;0.032999999995809;FR;20220412
kill_order;120613;120613;30976707641;435126.788;435126.777;0.010999999998603;FR;20220412
send_order;120613;120613;30976707767;435127.076;435127.042;0.033999999985099;FR;20220412
kill_order;120613;120613;30976707767;435127.087;435127.079;0.007999999972526;FR;20220412
send_order;120613;120613;30976707885;435127.357;435127.345;0.0120000000461;FR;20220412
kill_order;120613;120613;30976707885;435127.384;435127.359;0.025000000023283;FR;20220412
send_order;120614;120614;30976708066;435127.664;435127.652;0.011999999987893;FR;20220412
kill_order;120614;120614;30976708066;435127.69;435127.667;0.022999999986496;FR;20220412
send_order;120614;120614;30976708156;435127.971;435127.958;0.01300000003539;FR;20220412
kill_order;120614;120614;30976708156;435127.989;435127.974;0.01500000001397;FR;20220412
send_order;120614;120614;30976708345;435128.276;435128.264;0.011999999987893;FR;20220412
kill_order;120614;120614;30976708345;435128.313;435128.279;0.034000000043306;FR;20220412
